Imports of Apples to Israel,,,,,
,,,,,
Year, Month ,Origin_Country,Value - NIS,Quantity - kg,"מחיר יבוא לק""ג"
2020, 1 ,איטליה,8609164,1953077, 4.41 
2020, 1 ,ארצות הברית,3545517,590412.2, 6.01 
2020, 1 ,יוון,1671387,507671.58, 3.29 
2020, 1 ,ספרד,1424790,333871.4, 4.27 
2020, 1 ,צרפת,7324765,1226229.49, 5.97 
2020, 10 ,איטליה,2537286,582419.5, 4.36 
2020, 10 ,יוון,57305,21077, 2.72 
2020, 10 ,ספרד,85088,21168, 4.02 
2020, 10 ,צרפת,191965,39939, 4.81 
2020, 11 ,איטליה,3926960,867333.1, 4.53 
2020, 11 ,טורקיה,198319,61500, 3.22 
2020, 11 ,יוון,135552,42851.8, 3.16 
2020, 11 ,ספרד,455496,83957.5, 5.43 
2020, 11 ,צרפת,2173936,389233, 5.59 
2020, 12 ,איטליה,3528985,793270.48, 4.45 
2020, 12 ,ארצות הברית,524126,102340, 5.12 
2020, 12 ,טורקיה,266166,67235, 3.96 
2020, 12 ,יוון,380269,126165, 3.01 
2020, 12 ,ספרד,612349,125011.9, 4.90 
2020, 12 ,צרפת,3246310,571200, 5.68 
2020, 2 ,איטליה,5401317,1239499, 4.36 
2020, 2 ,ארצות הברית,4031434,727529.9, 5.54 
2020, 2 ,הממלכה המאוחדת,154245,21168, 7.29 
2020, 2 ,יוון,1042937,336167.8, 3.10 
2020, 2 ,ספרד,860753,185622.5, 4.64 
2020, 2 ,צרפת,6229050,1012820, 6.15 
2020, 3 ,איטליה,3845724,805639, 4.77 
2020, 3 ,ארצות הברית,5783298,1030129.5, 5.61 
2020, 3 ,טורקיה,53858,15530, 3.47 
2020, 3 ,יוון,363155,111686.7, 3.25 
2020, 3 ,ספרד,943434,232374.8, 4.06 
2020, 3 ,צרפת,6560934,1006691, 6.52 
2020, 4 ,איטליה,4155855,1059464.29, 3.92 
2020, 4 ,ארגנטינה,663754,127008, 5.23 
2020, 4 ,ארצות הברית,4456903,752114.78, 5.93 
2020, 4 ,הולנד,18457,5760, 3.20 
2020, 4 ,יוון,228754,70678.8, 3.24 
2020, 4 ,ספרד,603521,129994.38, 4.64 
2020, 4 ,צרפת,5832788,1034194, 5.64 
2020, 5 ,איטליה,4722594,1245553.2, 3.79 
2020, 5 ,ארגנטינה,334407,63504, 5.27 
2020, 5 ,ארצות הברית,8305350,1337714.2, 6.21 
2020, 5 ,הולנד,15405,4800, 3.21 
2020, 5 ,יוון,381116,108570.6, 3.51 
2020, 5 ,ספרד,827963,206143.06, 4.02 
2020, 5 ,צרפת,4331059,626059.96, 6.92 
2020, 6 ,איטליה,5604572,1507494.2, 3.72 
2020, 6 ,ארגנטינה,1173808,190512, 6.16 
2020, 6 ,ארצות הברית,3181260,525032.2, 6.06 
2020, 6 ,טורקיה,56783,19250, 2.95 
2020, 6 ,יוון,78315,19705, 3.97 
2020, 6 ,ספרד,1127134,186961.4, 6.03 
2020, 6 ,צרפת,2096202,367135, 5.71 
2020, 7 ,איטליה,1046195,278327, 3.76 
2020, 7 ,ארגנטינה,1890387,323300.6, 5.85 
2020, 7 ,ארצות הברית,1822734,273852, 6.66 
2020, 7 ,יוון,225196,58031, 3.88 
2020, 7 ,ספרד,812477,124359.4, 6.53 
2020, 7 ,צרפת,501756,82676, 6.07 
2020, 8 ,איטליה,142500,40320, 3.53 
2020, 8 ,ארגנטינה,114930,21520.8, 5.34 
2020, 8 ,ספרד,220143,41388.8, 5.32 
2020, 8 ,צרפת,124825,21168, 5.90 
2020, 9 ,איטליה,554231,95697, 5.79 
2020, 9 ,ארגנטינה,108652,21520.8, 5.05 
2020, 9 ,ספרד,85871,21168, 4.06 
2020, 9 ,צרפת,142527,32256, 4.42 
2021, 1 ,איטליה,5431178,1210451.3, 4.49 
2021, 1 ,ארצות הברית,7322331,1149400, 6.37 
2021, 1 ,הולנד,33005,11088, 2.98 
2021, 1 ,טורקיה,134715,38860, 3.47 
2021, 1 ,יוון,320483,104395, 3.07 
2021, 1 ,ספרד,1772387,359222.4, 4.93 
2021, 1 ,צרפת,5346290,889051.5, 6.01 
2021, 10 ,איטליה,1293879,222517, 5.81 
2021, 10 ,ארגנטינה,137699,20496, 6.72 
2021, 10 ,טורקיה,71587,20500, 3.49 
2021, 10 ,ספרד,395523,101955.2, 3.88 
2021, 10 ,צרפת,994286,211894, 4.69 
2021, 11 ,איטליה,3167638,613291, 5.16 
2021, 11 ,ארצות הברית,448827,92610, 4.85 
2021, 11 ,טורקיה,579489,191722, 3.02 
2021, 11 ,יוון,154595,37341, 4.14 
2021, 11 ,ספרד,455868,104272, 4.37 
2021, 11 ,צרפת,5726872,941077, 6.09 
2021, 12 ,איטליה,3123236,573862.5, 5.44 
2021, 12 ,ארצות הברית,4162724.8,791633, 5.26 
2021, 12 ,טורקיה,593724,151477, 3.92 
2021, 12 ,יוון,322978,78740.2, 4.10 
2021, 12 ,ספרד,1282504,287106, 4.47 
2021, 12 ,צרפת,5165763,833492.1, 6.20 
2021, 2 ,איטליה,3434428,712661, 4.82 
2021, 2 ,ארצות הברית,5820596,895366.5, 6.50 
2021, 2 ,טורקיה,149356,39600, 3.77 
2021, 2 ,יוון,264622,83409, 3.17 
2021, 2 ,ספרד,435989,106612, 4.09 
2021, 2 ,צרפת,2484513,386248.1, 6.43 
2021, 3 ,איטליה,2989720,697139, 4.29 
2021, 3 ,ארצות הברית,7016299,1074505.5, 6.53 
2021, 3 ,טורקיה,71060,20981, 3.39 
2021, 3 ,יוון,72464,20784, 3.49 
2021, 3 ,ספרד,135877,40627.8, 3.34 
2021, 3 ,צרפת,3686801,638138.6, 5.78 
2021, 4 ,איטליה,1874248,457058.52, 4.10 
2021, 4 ,ארגנטינה,1031385,211680, 4.87 
2021, 4 ,ארצות הברית,7281101,1134498.5, 6.42 
2021, 4 ,יוון,128319,41900, 3.06 
2021, 4 ,ספרד,187373,41160.2, 4.55 
2021, 4 ,צרפת,2418826,423264.8, 5.71 
2021, 5 ,איטליה,2729248,710798, 3.84 
2021, 5 ,ארגנטינה,211870,42336, 5.00 
2021, 5 ,ארצות הברית,3786914,590259, 6.42 
2021, 5 ,ספרד,678056,159986.5, 4.24 
2021, 5 ,צרפת,2067765,320071, 6.46 
2021, 6 ,איטליה,1867505,439281, 4.25 
2021, 6 ,ארגנטינה,541745,86083.2, 6.29 
2021, 6 ,ארצות הברית,3016499,471948, 6.39 
2021, 6 ,ספרד,1092589,203571.75, 5.37 
2021, 6 ,צרפת,1377218,241229, 5.71 
2021, 7 ,איטליה,1419004,375069.5, 3.78 
2021, 7 ,ארגנטינה,1120991,193334.4, 5.80 
2021, 7 ,ארצות הברית,870934,128626, 6.77 
2021, 7 ,ספרד,673200,158057.8, 4.26 
2021, 7 ,צרפת,499615,103488, 4.83 
2021, 8 ,איטליה,775382,206299, 3.76 
2021, 8 ,ארגנטינה,2048248,321335.6, 6.37 
2021, 8 ,ארצות הברית,1727505,256719.5, 6.73 
2021, 8 ,יוון,145317,35847.1, 4.05 
2021, 8 ,ספרד,593775,165026.4, 3.60 
2021, 9 ,איטליה,463982,73584, 6.31 
2021, 9 ,ארגנטינה,219017,36722, 5.96 
2021, 9 ,ארצות הברית,339258,54007, 6.28 
2021, 9 ,צרפת,297266,59160, 5.02 
2022, 1 ,איטליה,2479579.731,475484.5, 5.21 
2022, 1 ,ארצות הברית,5844285.792,1104031.5, 5.29 
2022, 1 ,טורקיה,356621.0375,98660, 3.61 
2022, 1 ,ספרד,1181396.589,293447, 4.03 
2022, 1 ,צרפת,4397325.23,757782.78, 5.80 
2022, 10 ,איטליה,1383413.864,262666, 5.27 
2022, 10 ,ארגנטינה,1194355.749,172166.4, 6.94 
2022, 10 ,ארצות הברית,228293.7941,18007.64, 12.68 
2022, 10 ,טורקיה,68622.6512,16580, 4.14 
2022, 10 ,יוון,62649.6317,18757, 3.34 
2022, 10 ,ספרד,188000.9625,42571.2, 4.42 
2022, 10 ,צרפת,761512.044,170519.2, 4.47 
2022, 11 ,איטליה,7003428.428,1605265, 4.36 
2022, 11 ,ארצות הברית,210125.0028,36016, 5.83 
2022, 11 ,טורקיה,264705.0345,74827, 3.54 
2022, 11 ,יוון,477943.3792,138715, 3.45 
2022, 11 ,ספרד,773016.8503,160663, 4.81 
2022, 11 ,צרפת,3369316.893,632203, 5.33 
